freq_1;term_1;freq_2;term_2;freq_3;term_3;freq_4;term_4;freq_5;term_5;freq_6;term_6;freq_7;term_7;freq_8;term_8;freq_9;term_9;freq_10;term_10;unique;total;source;filters
127595;the;71846;to;62890;of;60795;a;55181;and;45170;I;42745;is;38566;in;36110;that;28186;on;101538;3079257;20_newsgroups;porter_stem-kstem
114095;the;58296;to;53254;a;49716;of;46724;and;39255;in;37379;i;35439;is;28087;that;27019;it;75225;2529193;20_newsgroups;lowercase-porter_stem-kstem
113209;the;64016;to;55801;of;54400;a;49361;and;40334;I;38137;is;34405;in;31679;that;25296;on;96158;2766644;20_newsgroups;asciifolding-porter_stem-kstem
129024;the;66220;to;58717;a;57533;of;52531;and;44348;in;42019;i;40476;is;33250;that;30391;it;79271;2813262;20_newsgroups;lowercase-asciifolding-porter_stem-kstem
42335;I;21243;you;18103;have;13773;The;11226;us;10071;from;9409;In;9170;can;8889;write;8682;1;98366;2150063;20_newsgroups;stop-porter_stem-kstem
44967;i;24797;you;19118;have;12662;us;11121;from;10422;do;10339;can;10268;my;9285;on;9203;write;81215;2140131;20_newsgroups;lowercase-stop-porter_stem-kstem
38035;I;19350;you;16250;have;12532;The;10117;us;9140;from;8644;In;8304;can;8234;1;8211;write;93704;1965276;20_newsgroups;asciifolding-stop-porter_stem-kstem
43938;i;24450;you;18695;have;12388;us;10898;from;10243;do;10145;can;9992;my;9124;on;9036;write;80564;2104299;20_newsgroups;lowercase-asciifolding-stop-porter_stem-kstem
104872;the;59256;to;51165;a;51122;of;46131;and;37391;I;35185;is;31781;in;29328;that;25723;it;91936;2594316;20_newsgroups;snowball
119122;the;61008;to;54910;a;52639;of;48547;and;40993;in;38891;i;37262;is;31665;it;31203;that;75609;2623645;20_newsgroups;lowercase-snowball
110038;the;62165;to;53992;of;53119;a;48142;and;39251;I;36950;is;33367;in;31267;that;26893;it;93718;2700921;20_newsgroups;asciifolding-snowball
122152;the;62653;to;56128;a;54186;of;49765;and;42067;in;40032;i;38220;is;32460;it;32278;that;76544;2683504;20_newsgroups;lowercase-asciifolding-snowball
41216;I;20647;you;17614;have;13455;The;9857;from;9404;use;9188;In;8964;can;8683;write;8525;1;95893;2100952;20_newsgroups;stop-snowball
41344;i;23132;you;17618;have;10373;from;9642;use;9612;can;9426;my;8717;one;8630;write;8513;do;77876;2001538;20_newsgroups;lowercase-stop-snowball
38737;I;19681;you;16542;have;12721;The;9315;from;8936;use;8758;In;8459;can;8316;write;8286;1;93107;1994438;20_newsgroups;asciifolding-stop-snowball
40685;i;22829;you;17284;have;10200;from;9472;use;9467;can;9256;my;8529;one;8525;write;8369;do;77158;1969507;20_newsgroups;lowercase-asciifolding-stop-snowball
110778;the;62566;to;54446;of;53420;a;48439;and;39459;I;37217;is;33639;in;31522;that;28905;on;93360;2716399;20_newsgroups;porter_stem-snowball
121505;the;62344;to;55865;a;53828;of;49528;and;41828;in;39795;i;37980;is;32266;it;32031;that;75591;2670285;20_newsgroups;lowercase-porter_stem-snowball
110051;the;62207;to;53932;of;53242;a;48097;and;39378;I;36955;is;33377;in;31179;that;28816;on;93303;2703032;20_newsgroups;asciifolding-porter_stem-snowball
127520;the;65514;to;58335;a;56710;of;51960;and;43875;in;41675;i;40074;is;34057;that;33791;it;77253;2788524;20_newsgroups;lowercase-asciifolding-porter_stem-snowball
38247;I;19403;you;16331;have;12585;The;11066;on;10198;us;9190;from;8695;In;8361;can;8251;write;91941;1973953;20_newsgroups;stop-porter_stem-snowball
41063;i;22977;you;17431;have;12820;on;11652;us;10290;from;9556;do;9528;can;9361;my;8582;write;76728;1983850;20_newsgroups;lowercase-stop-porter_stem-snowball
41407;I;20784;you;17719;have;13514;The;12104;on;11019;us;9911;from;9235;In;9011;can;8731;write;95306;2112077;20_newsgroups;asciifolding-stop-porter_stem-snowball
40944;i;22935;you;17396;have;12776;on;11610;us;10239;from;9527;do;9505;can;9328;my;8551;write;76412;1976722;20_newsgroups;lowercase-asciifolding-stop-porter_stem-snowball
110211;the;62162;to;53933;of;53216;a;48153;and;39351;I;36940;is;33373;in;31214;that;26910;it;93184;2702597;20_newsgroups;kstem-snowball
115403;the;59044;to;53674;a;50556;of;47188;and;39696;in;37793;i;35916;is;30706;it;29769;that;73729;2554584;20_newsgroups;lowercase-kstem-snowball
111068;the;62715;to;54418;of;53636;a;48512;and;39653;I;37298;is;33639;in;31549;that;27152;it;93456;2722491;20_newsgroups;asciifolding-kstem-snowball
120794;the;61949;to;55464;a;53519;of;49253;and;41617;in;39536;i;37771;is;32090;it;31810;that;74978;2656346;20_newsgroups;lowercase-asciifolding-kstem-snowball
40793;I;20537;you;17471;have;13338;The;10873;do;9782;from;9357;use;9132;In;8882;can;8629;write;94727;2086170;20_newsgroups;stop-kstem-snowball
40670;i;22798;you;17244;have;12217;do;10185;from;9539;use;9448;can;9262;my;8528;write;8520;one;76166;1966202;20_newsgroups;lowercase-stop-kstem-snowball
36967;I;18793;you;15812;have;12238;The;9667;do;8902;from;8771;use;8482;In;8135;1;8079;can;90640;1918070;20_newsgroups;asciifolding-stop-kstem-snowball
36493;i;20668;you;15547;have;10839;do;9204;from;8962;use;8563;can;8339;my;7985;write;7631;1;72264;1794802;20_newsgroups;lowercase-asciifolding-stop-kstem-snowball
103123;the;58311;to;50632;a;50010;of;45428;and;36937;I;34527;is;31267;in;28679;that;27280;on;90105;2560420;20_newsgroups;porter_stem-kstem-snowball
116012;the;59452;to;53946;a;50853;of;47436;and;39971;in;38016;i;36207;is;30932;it;30090;that;73417;2567332;20_newsgroups;lowercase-porter_stem-kstem-snowball
102300;the;57780;to;50304;a;49487;of;45127;and;36670;I;34146;is;30966;in;28266;that;27076;on;89865;2542243;20_newsgroups;asciifolding-porter_stem-kstem-snowball
112468;the;57265;to;52628;a;48850;of;45980;and;38677;in;36779;i;34857;is;29892;it;28722;that;72297;2490127;20_newsgroups;lowercase-asciifolding-porter_stem-kstem-snowball
37101;I;18849;you;15900;have;12311;The;10732;on;9957;us;8954;from;8518;In;8161;1;8114;can;90379;1927432;20_newsgroups;stop-porter_stem-kstem-snowball
38622;i;21829;you;16458;have;12008;on;11081;us;9708;from;9026;do;9025;can;8756;my;8250;write;73991;1890909;20_newsgroups;lowercase-stop-porter_stem-kstem-snowball
36648;I;18650;you;15698;have;12143;The;10546;on;9857;us;8819;from;8430;In;8101;1;8022;can;89798;1903925;20_newsgroups;asciifolding-stop-porter_stem-kstem-snowball
38032;i;21488;you;16215;have;11823;on;10970;us;9581;from;8890;can;8873;do;8650;my;8164;write;73556;1867106;20_newsgroups;lowercase-asciifolding-stop-porter_stem-kstem-snowball
