freq_10;term_10;freq_9;term_9;freq_8;term_8;freq_7;term_7;freq_6;term_6;freq_5;term_5;freq_4;term_4;freq_3;term_3;freq_2;term_2;freq_1;term_1;unique;source;filters
62104;it;70996;that;72139;i;73649;is;85726;in;99790;and;104939;a;114864;of;127204;to;252775;the;102551;20_newsgroups;lowercase-asciifolding-snowball
15382;can;15402;use;15741;would;16673;write;18023;In;18232;from;25836;The;33744;have;39449;you;72803;I;127268;20_newsgroups;stop-snowball
16706;do;16727;my;16785;can;16816;write;16816;one;17627;what;19677;from;34426;have;44981;you;74483;i;104304;20_newsgroups;lowercase-stop-snowball
15382;can;15402;use;15741;would;16673;write;18023;In;18232;from;25836;The;33744;have;39449;you;72803;I;127256;20_newsgroups;asciifolding-stop-snowball
16706;do;16727;my;16785;can;16816;write;16816;one;17627;what;19677;from;34426;have;44981;you;74483;i;104292;20_newsgroups;lowercase-asciifolding-stop-snowball
51675;on;63748;that;65082;in;66109;is;66351;I;90259;and;93577;a;107965;of;119077;to;216253;the;120803;20_newsgroups;porter_stem-snowball
58153;it;66559;that;67874;i;68481;is;82012;in;94993;and;99420;a;109010;of;120720;to;240845;the;98868;20_newsgroups;lowercase-porter_stem-snowball
51487;on;63304;that;64805;in;65597;is;66111;I;89933;and;93200;a;107405;of;118507;to;215468;the;120687;20_newsgroups;asciifolding-porter_stem-snowball
56049;it;63644;that;65433;is;65611;i;79372;in;92358;and;96385;a;105235;of;116981;to;234059;the;97696;20_newsgroups;lowercase-asciifolding-porter_stem-snowball
15138;would;16053;write;17442;In;17562;from;17793;us;21829;on;24835;The;32059;have;37908;you;68349;I;121762;20_newsgroups;stop-porter_stem-snowball
15942;can;16237;write;16979;what;17247;do;18979;from;19826;us;24219;on;32788;have;43372;you;70117;i;99709;20_newsgroups;lowercase-stop-porter_stem-snowball
15100;would;16006;write;17393;In;17531;from;17758;us;21782;on;24805;The;31982;have;37766;you;68183;I;121682;20_newsgroups;asciifolding-stop-porter_stem-snowball
15654;all;15920;write;16531;what;16892;do;18698;from;19571;us;23796;on;32234;have;42394;you;68992;i;99357;20_newsgroups;lowercase-asciifolding-stop-porter_stem-snowball
49153;it;65638;that;66150;in;67714;I;68286;is;91852;and;95534;a;110564;of;121594;to;220382;the;121636;20_newsgroups;kstem-snowball
56470;it;64222;that;65962;is;66127;i;79799;in;92906;and;97060;a;105881;of;117747;to;235657;the;97634;20_newsgroups;lowercase-kstem-snowball
46328;it;61272;that;63195;in;63381;is;64494;I;88125;and;91073;a;104549;of;115817;to;211052;the;119803;20_newsgroups;asciifolding-kstem-snowball
57051;it;64998;that;66676;i;66833;is;80553;in;93689;and;97948;a;107072;of;118757;to;237630;the;98005;20_newsgroups;lowercase-asciifolding-kstem-snowball
14089;use;14674;would;15460;write;16842;In;17070;from;18822;do;24243;The;31010;have;36311;you;66298;I;120851;20_newsgroups;stop-kstem-snowball
14954;can;15007;all;15042;one;15122;write;15553;what;17996;from;21138;do;30840;have;40103;you;66280;i;97714;20_newsgroups;lowercase-stop-kstem-snowball
14237;can;14807;would;15642;write;17013;In;17208;from;19142;do;24449;The;31331;have;36803;you;66970;I;121152;20_newsgroups;asciifolding-stop-kstem-snowball
14847;can;14897;one;14898;all;14963;write;15425;what;17906;from;20947;do;30638;have;39722;you;65830;i;97427;20_newsgroups;lowercase-asciifolding-stop-kstem-snowball
53202;on;66653;that;66975;in;68525;I;69475;is;92734;and;96547;a;111899;of;122994;to;222543;the;121149;20_newsgroups;porter_stem-kstem-snowball
57998;it;66304;that;67692;i;68194;is;81810;in;94796;and;99199;a;108661;of;120387;to;240356;the;97872;20_newsgroups;lowercase-porter_stem-kstem-snowball
54595;on;67897;that;68081;in;70858;I;71137;is;94847;and;98972;a;113736;of;125564;to;227469;the;123615;20_newsgroups;asciifolding-porter_stem-kstem-snowball
58075;it;66442;that;67840;i;68336;is;81909;in;94923;and;99320;a;108840;of;120595;to;240636;the;97894;20_newsgroups;lowercase-asciifolding-porter_stem-kstem-snowball
15741;would;16673;write;18029;In;18232;from;18901;us;22876;on;25836;The;33744;have;39450;you;72798;I;125455;20_newsgroups;stop-porter_stem-kstem-snowball
15362;all;15585;write;16066;what;16525;do;18359;from;19285;us;23303;on;31608;have;41418;you;67840;i;97904;20_newsgroups;lowercase-stop-porter_stem-kstem-snowball
15741;would;16673;write;18029;In;18232;from;18901;us;22876;on;25836;The;33744;have;39450;you;72798;I;125442;20_newsgroups;asciifolding-stop-porter_stem-kstem-snowball
16733;can;16775;write;17588;what;18136;do;19632;from;20852;us;25250;on;34284;have;44890;you;74119;i;102063;20_newsgroups;lowercase-asciifolding-stop-porter_stem-kstem-snowball
